GEMBASE_NAME,Isolation source,Strain Category,phylogroup
ESCO.0216.00422,Host-associated,Bird_Faecal,D
ESCO.0216.00423,Host-associated,Mammal_Faecal,D
ESCO.0216.00424,Host-associated,Bird_Faecal,B1
ESCO.0216.00425,Host-associated,Poultry_Meat,B1
ESCO.0216.00426,Environmental,Water,B1
ESCO.0216.00427,Host-associated,Mammal_Faecal,D
ESCO.0216.00428,Environmental,Water,D
ESCO.0216.00429,Host-associated,Mammal_Faecal,B2
ESCO.0216.00430,Host-associated,Mammal_Faecal,D
ESCO.0216.00431,Host-associated,Mammal_Faecal,B1
ESCO.0216.00432,Environmental,Water,B2
ESCO.0216.00433,Environmental,Water,B1
ESCO.0216.00434,Host-associated,Bird_Faecal,B1
ESCO.0216.00435,Host-associated,Bird_Faecal,B1
ESCO.0216.00436,Environmental,Water,B1
ESCO.0216.00437,Host-associated,Poultry_Meat,B1
ESCO.0216.00438,Environmental,Water,B1
ESCO.0216.00439,Host-associated,Mammal_Faecal,D
ESCO.0216.00440,Environmental,Water,B2
ESCO.0216.00441,Host-associated,Human_Faecal,B2
ESCO.0216.00442,Host-associated,Bird_Faecal,B1
ESCO.0216.00445,Environmental,Water,A
ESCO.0216.00446,Environmental,Water,B1
ESCO.0216.00447,Host-associated,Human_Faecal,B2
ESCO.0216.00448,Environmental,Water,D
ESCO.0216.00449,Environmental,Water,D
ESCO.0216.00450,Host-associated,Mammal_Faecal,B2
ESCO.0216.00451,Host-associated,Mammal_Faecal,D
ESCO.0216.00452,Host-associated,Mammal_Faecal,D
ESCO.0216.00453,Environmental,Water,B1
ESCO.0216.00454,Environmental,Water,E
ESCO.0216.00455,Host-associated,Mammal_Faecal,A
ESCO.0216.00456,Environmental,Water,A
ESCO.0216.00457,Host-associated,Bird_Faecal,B1
ESCO.0216.00458,Host-associated,Human_Intestinal,D
ESCO.0216.00459,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00460,Host-associated,Mammal_Faecal,B1
ESCO.0216.00461,Host-associated,Human_Faecal,B2
ESCO.0216.00462,Host-associated,Human_Intestinal,B1
ESCO.0216.00463,Host-associated,Human_Extra-intestinal,C
ESCO.0216.00464,Host-associated,Human_Faecal,C
ESCO.0216.00465,Host-associated,Mammal_Faecal,E
ESCO.0216.00466,Host-associated,Bird_Faecal,E
ESCO.0216.00467,Environmental,Water,B1
ESCO.0216.00468,Environmental,Water,B1
ESCO.0216.00469,Environmental,Water,B1
ESCO.0216.00470,Environmental,Water,B1
ESCO.0216.00471,Host-associated,Poultry_Meat,B2
